Martin Thomson                                    	      6577	quic-issues (6080), quic (92), tls (65), ietf-and-github (45), add (40), httpbisa (40), rfced-future (37), captive-portals (26), tools-discuss (19), wpack (16), last-call (14), rfc-interest (14), tools-arch (11), webtransport (9), ietf (8), masque (8), cfrg (7), dns-privacy (7), tools-development (6), architecture-discuss (5), dnsop (5), model-t (5), v3 (4), wgchairs (4), dispatch (3), eligibility-discuss (3), gendispatch (3), lake (3), sframe (3), art (2), avt (2), opsec (2), privacy-pass (2), edm (1), gen-art (1), homenet (1), http-grease (1), int-area (1), saag (1), secdir (1), secdispatch (1), tsv-art (1), tsvwg (1), uta (1)
Jana Iyengar                                      	      2024	quic-issues (1945), quic (67), iccrg (7), masque (2), dnsop (1), last-call (1), tcpm (1), tsv-art (1), tsvwg (1)
Michael Richardson                                	      1629	anima (153), ipv6 (116), ietf (100), tools-discuss (96), manycouches (89), wgchairs (86), rats (85), eligibility-discuss (82), opsawg (73), roll (67), spasm (56), core (55), mud (39), saag (36), cbor (35), last-call (34), tm-rid (33), asdf (32), cellar (32), ipsec (32), iot-onboarding (31), add (30), 6tisch (29), iotops (29), emu (27), secdispatch (26), iot-directorate (25), cose (24), dhcwg (24), rfc-interest (23), suit (22), v6ops (22), captive-portals (19), acme (18), homenet (18), ace (16), lake (14), int-area (12), openpgp (12), ietf-smtp (9), tls (9), teep (8), 6lo (7), madinas (7), t2trg (7), hackathon (6), secdir (6), behave (5), lwip (5), sacm (5), 107attendees (4), 108attendees (3), gen-art (3), gendispatch (3), ieee-ietf-coord (3), ietf-and-github (3), mtgvenue (3), netmod (3), rtg-dir (3), tools-development (3), 109attendees (2), architecture-discuss (2), ietf-822 (2), admin-discuss (1), art (1), cacao (1), dnssd (1), hipsec (1), ietf-runners (1), ietf108planning (1), its (1), json (1), lsr (1), mpls (1), netconf (1), network-tokens (1), pkix (1), tram (1), urn (1), wish (1)
Mike Bishop                                       	      1492	quic-issues (1431), quic (20), httpbisa (13), masque (11), ietf-and-github (3), manycouches (3), tls (3), add (2), tsvwg (2), 108attendees (1), httpapi (1), last-call (1), wgchairs (1), wpack (1)
Carsten Bormann                                   	      1253	cbor (180), tools-discuss (139), ietf (121), core (111), wgchairs (96), xml2rfc (85), rfc-interest (70), asdf (52), jsonpath (52), loops (52), rfced-future (51), rfc-markdown (38), t2trg (32), cose (29), ace (27), netmod (20), xml2rfc-dev (16), rats (15), suit (15), 108attendees (14), manycouches (13), opsawg (13), fdt (12), teep (12), lake (9), dtn (8), json (8), last-call (8), 6lo (7), architecture-discuss (7), dots (7), jose (7), lp-wan (7), lwip (7), nwcrg (7), roll (7), 6tisch (6), anima (6), din (6), 107attendees (5), dispatch (5), ipv6 (5), model-t (5), saag (5), tm-rid (5), emu (4), icnrg (4), iot-directorate (4), abnf-discuss (3), etosat (3), hackathon (3), oauth (3), sacm (3), secdir (3), cacao (2), cfrg (2), gen-art (2), httpbisa (2), iccrg (2), int-area (2), jmap (2), madinas (2), rohc (2), 109attendees (1), art (1), captive-portals (1), coin (1), core-parameters (1), dhcwg (1), homenet (1), hrpc (1), i18n-discuss (1), ietf-and-github (1), pearg (1), quic (1), tcpm (1), tools-development (1), tsvwg (1), uri-review (1), urn (1), wpack (1)
Benjamin Kaduk                                    	      1089	ietf (55), last-call (51), tls (51), oauth (49), secdir (46), nfsv4 (45), cose (36), ace (32), dots (31), dtn (31), regext (27), saag (25), anima (24), 6lo (23), idr (21), ipsec (19), dnsop (18), ippm (18), lsr (17), spasm (17), detnet (15), emu (15), httpbisa (13), id-event (13), roll (13), tcpm (13), txauth (13), wgchairs (13), bess (12), dns-privacy (12), pce (12), 6tisch (11), captive-portals (11), ntp (11), sfc (11), sipcore (11), acme (10), core (10), dhcwg (10), gen-art (10), pim (10), extra (9), kitten (9), lp-wan (9), openpgp (9), ipv6 (8), secdispatch (8), spring (8), tls-reg-review (8), avt (7), netmod (7), alto (6), calsify (6), hipsec (6), i2nsf (6), jmap (6), mpls (6), rfc-interest (6), curdle (5), dmm (5), int-area (5), lisp (5), mboned (5), rats (5), suit (5), babel (4), cbor (4), i2rs (4), ice (4), lake (4), manycouches (4), nvo3 (4), opsawg (4), sidrops (4), stir (4), taps (4), teep (4), tm-rid (4), tsv-art (4), v6ops (4), wpack (4), dispatch (3), ecrit (3), ietf-and-github (3), mmusic (3), pkix (3), 107attendees (2), art (2), ccamp (2), cfrg (2), dnssd (2), jose (2), lwip (2), masque (2), mile (2), model-t (2), privacy-pass (2), quic (2), rmcat (2), rtg-bfd (2), sframe (2), tools-discuss (2), uta (2), 108attendees (1), add (1), asdf (1), bmwg (1), cellar (1), cwt-reg-review (1), eligibility-discuss (1), emailcore (1), httpapi (1), icnrg (1), ietf108planning (1), int-dir (1), iot-directorate (1), mls (1), netconf (1), pearg (1), rtg-dir (1), smime (1), tsvwg (1), webtransport (1), yang-doctors (1)
Brian E. Carpenter                                	      1043	ipv6 (221), rfced-future (171), ietf (136), anima (107), eligibility-discuss (89), rfc-interest (57), v6ops (56), architecture-discuss (47), last-call (47), manycouches (46), gendispatch (33), spring (32), tools-discuss (22), gen-art (17), xml2rfc (13), ietf-and-github (12), wgchairs (10), opsawg (9), tcpm (6), tsvwg (6), bimi (5), iotops (4), admin-discuss (3), bier (3), dispatch (3), mmusic (3), tlp-interest (3), chirp (2), ietf108planning (2), model-t (2), rtg-dir (2), rtgwg (2), saag (2), secdir (2), tls (2), captive-portals (1), dhcwg (1), edm (1), iasa20 (1), ietf-nomcom (1), iot-onboarding (1), irtf-discuss (1), jose (1), pim (1), rfc-markdown (1), uta (1), xml2rfc-dev (1)
John R. Levine                                    	       950	dmarc (308), ietf (120), ietf-smtp (93), dnsop (80), rfced-future (64), rfc-interest (44), i18ndir (37), emailcore (32), tools-discuss (22), ietf-822 (17), xml2rfc (17), dispatch (16), gendispatch (11), manycouches (11), architecture-discuss (10), dns-privacy (9), 108attendees (7), add (7), tlp-interest (7), uta (7), regext (6), tools-development (6), tools-arch (5), ima (3), tls (3), urn (3), 107attendees (2), extra (2), saag (2), spfbis (2), wgchairs (2), art (1), bimi (1), edm (1), i18n-discuss (1), json (1), netconf (1), xml2rfc-dev (1)
Lars Eggert                                       	       818	quic-issues (582), quic (117), tools-discuss (19), ietf (18), tcpm (12), tsvwg (12), architecture-discuss (8), loops (8), rfc-interest (7), etosat (6), last-call (6), secdir (6), gen-art (4), masque (4), ietf-and-github (3), lwip (3), network-tokens (3), nfsv4 (3), rdma-cc-interest (3), rfced-future (3), t2trg (3), apn (2), icnrg (2), pearg (2), tsv-area (2), wgchairs (2), 6gip (1), admin-discuss (1), iccrg (1), ietf108planning (1), tls (1)
Rich Salz                                         	       774	ietf (181), tls (93), eligibility-discuss (61), tls-reg-review (53), ntp (48), spasm (42), acme (33), last-call (32), wgchairs (32), ietf-and-github (28), manycouches (27), tools-discuss (23), httpapi (22), rfced-future (13), gendispatch (12), netconf (11), rats (11), secdir (11), cfrg (9), curdle (9), tools-arch (9), opsec (6), quic (6), rfc-interest (6), saag (6), architecture-discuss (5), dispatch (5), edu-team (4), trans (4), dnsop (3), secdispatch (3), 108attendees (2), admin-discuss (2), cose (2), dcrup (2), ietf108planning (2), openpgp (2), pkix (2), quic-issues (2), stir (2), suit (2), tlp-interest (2), wpack (2), 109attendees (1), emu (1), ippm (1), lsr (1), sipcore (1), teep (1)
Fernando Gont                                     	       764	ipv6 (419), v6ops (183), ietf (66), last-call (61), spring (60), architecture-discuss (21), tcpm (21), int-area (17), ntp (17), pearg (12), gendispatch (7), gen-art (5), iot-directorate (4), saag (4), tsv-art (4), secdir (3), int-dir (2), art (1), ietf108planning (1)
Kazuho Oku                                        	       717	quic-issues (672), quic (37), httpbisa (7), masque (1), webtransport (1)
Toerless Eckert                                   	       699	ietf (156), anima (121), architecture-discuss (103), wgchairs (86), bier (50), ipv6 (40), manycouches (40), tools-discuss (26), ipsec (24), opsawg (22), rfc-interest (12), 108attendees (11), iotops (11), detnet (8), chirp (7), dnsop (6), v6ops (6), int-area (5), iot-onboarding (5), mboned (5), rtgwg (4), behave (3), last-call (3), model-t (3), multipathtcp (3), pim (3), teas (3), tsvwg (3), 107attendees (2), httpbisa (2), iccrg (2), roll (2), rtg-dir (2), 109attendees (1), edm (1), i18n-discuss (1), ietf108planning (1), netconf (1), network-tokens (1), nfsv4 (1), nmrg (1), raw (1), secdispatch (1), suit (1), tm-rid (1), xml2rfc (1)
Lucas Pardue                                      	       644	quic-issues (406), quic (157), httpbisa (44), masque (26), webtransport (9), last-call (8), secdir (5), tls (5), dispatch (4), gen-art (4), mops (4), hls-interest (2), tsvwg (2), wgchairs (2), ietf-and-github (1)
Gyan Mishra                                       	       640	ipv6 (222), idr (82), lsr (76), spring (70), bess (67), bier (67), v6ops (54), pim (20), gen-art (15), last-call (15), teas (11), quic (9), detnet (8), mboned (7), rift (6), opsawg (5), pce (5), rmcat (5), rtgwg (5), ippm (3), mpls (3), mops (2), nvo3 (2), sfc (2), 108attendees (1), cose (1), grow (1), ietf (1)
Eric Rescorla                                     	       605	tls (108), add (78), rfced-future (72), dns-privacy (45), ietf (39), last-call (38), masque (33), quic (23), saag (17), model-t (14), dnsop (13), rfc-interest (13), webtransport (13), secdispatch (12), lake (11), architecture-discuss (10), ietf-and-github (10), tsvwg (10), dispatch (9), uta (9), anima (8), cfrg (8), hipsec (8), pearg (8), tools-discuss (8), httpbisa (6), opsawg (5), eligibility-discuss (4), opsec (4), secdir (4), v3 (3), admin-discuss (2), gen-art (2), abnf-discuss (1), cose (1), fdt (1), gendispatch (1), hackathon (1), int-area (1), iotops (1), privacy-pass (1), smart (1), tsv-art (1), wpack (1)
RFC Editor                                        	       589	ietf-announce (220), rfc-dist (192), tls (40), tsvwg (37), httpbisa (21), pce (21), ipv6 (18), acme (17), oauth (15), nfsv4 (14), tcpm (14), netconf (12), netmod (12), spasm (12), dime (10), dnsop (10), idr (10), dhcwg (9), curdle (8), iasa20 (8), lager (8), mpls (8), pkix (8), scim (8), behave (7), cfrg (7), lsr (7), opsawg (7), cbor (6), core (6), mile (6), taps (6), tram (6), 6lo (5), art (5), calsify (5), cose (5), mboned (5), regext (5), sieve (5), smime (5), ippm (4), irtf-announce (4), ntp (4), alto (3), bess (3), captive-portals (3), dnsext (3), dnssd (3), dots (3), ecrit (3), emu (3), icnrg (3), ipsec (3), jose (3), json (3), pim (3), sipcore (3), softwires (3), teas (3), avt (2), bmwg (2), detnet (2), dmarc (2), dmm (2), forces (2), i2nsf (2), id-event (2), ietf-and-github (2), imapext (2), int-area (2), lemonade (2), manet (2), mmusic (2), mtgvenue (2), multipathtcp (2), pals (2), pppext (2), rmcat (2), sidrops (2), ace (1), aqm (1), ccamp (1), cdni (1), cellar (1), dane (1), dns-privacy (1), doh (1), extra (1), http-state (1), i2rs (1), ima (1), jcardcal (1), jmap (1), lp-wan (1), nvo3 (1), opsec (1), perc (1), rfc-interest (1), rtg-bfd (1), rtgwg (1), sfc (1), sipping (1), spfbis (1), stir (1), video-codec (1), xmpp (1)
Russ Housley                                      	       565	spasm (182), last-call (37), suit (34), tools-implementation (33), rfced-future (27), tls (23), stir (22), tools-development (22), cose (20), its (20), ietf (17), cfrg (15), anima (14), gen-art (14), pkix (12), emu (11), ieee-ietf-coord (11), tools-discuss (9), sidrops (8), teep (8), saag (6), acme (5), crypto-panel (5), secdir (5), wgchairs (5), dispatch (3), ipv6 (3), lwip (3), model-t (3), netconf (3), ntp (3), smime (3), tlp-interest (3), bess (2), codesprints (2), core (2), kitten (2), lsvr (2), rats (2), admin-discuss (1), architecture-discuss (1), cbor (1), curdle (1), dcrup (1), dhcwg (1), dtn (1), iot-directorate (1), manycouches (1), mls (1), opsawg (1), secdispatch (1), venue-selection (1)
Pascal Thubert                                    	       552	roll (204), ipv6 (108), 6lo (91), lp-wan (66), last-call (41), v6ops (32), iot-directorate (23), raw (23), 6tisch (15), rift (15), gen-art (11), secdir (10), rtg-dir (7), dhcwg (5), tsv-art (4), wgchairs (4), detnet (3), bier (2), int-area (2), captive-portals (1), homenet (1), ietf (1), lake (1), manet (1), manycouches (1), tools-discuss (1)
Dr. John C. Klensin                               	       546	ietf (218), i18ndir (68), rfced-future (66), ietf-smtp (65), emailcore (53), eligibility-discuss (22), architecture-discuss (20), manycouches (16), last-call (8), rfc-interest (8), wgchairs (7), mtgvenue (6), art (5), dispatch (4), ietf108planning (4), urn (4), 108attendees (3), gendispatch (3), i18n-discuss (3), tools-discuss (3), doh (2), ima (2), apn (1), ietf-822 (1), model-t (1), network-tokens (1), nfsv4 (1)
Magnus Westerlund                                 	       527	quic-issues (123), dtn (50), nfsv4 (50), quic (41), tram (24), detnet (20), sframe (18), avt (17), dispatch (15), masque (15), tsvwg (12), behave (10), lp-wan (10), i2nsf (9), wgchairs (9), taps (8), dots (7), idr (7), tsv-art (7), captive-portals (6), hipsec (6), lisp (6), tsv-area (6), httpbisa (5), mmusic (5), webtransport (5), cose (4), ipv6 (4), nvo3 (4), sfc (4), sipcore (4), v3 (4), anima (3), int-dir (3), last-call (3), ntp (3), secdir (3), i2rs (2), ietf (2), openpgp (2), perc (2), raw (2), regext (2), tls-reg-review (2), tm-rid (2), wpack (2), 6lo (1), 6tisch (1), extra (1), httpapi (1), jsonpath (1), tcpm (1), tls (1), tools-discuss (1), uri-review (1)
Dick Hardt                                        	       522	txauth (394), oauth (97), id-event (22), last-call (5), wgchairs (5), tools-discuss (3), cbor (1), cose (1), gen-art (1)
